movies_id,id,year,exclude,film,lead studio,rotten tomatoes,audience score,story,genre,number of theatres in opening weekend us,box office average per cinema,domestic gross,foreign gross,worldwide gross,budget,profit,proftitability,opening weekend,oscar,bafta,source,column
movies-0000,1,201,,127 hours,independent,93.0,84,escape,adventure,916.0,0.002333,1.833e-05,4.24e-05,6.0729999999999996e-05,1.8e-05,4.273e-05,337.39%,2.6e-07,,,http://boxofficemojo.com/movies/?id=127hours.htm,
movies-0001,2,201,,a nightmare on elm street,warner bros.,13.0,40,monster force,horror,3332.0,0.009875,6.308e-05,5.259e-05,0.00011566,3.5e-05,8.065999999999999e-05,330.46%,3.29e-05,,,,
movies-0002,3,201,,alice in wonderland,disney,52.0,72,journey and return,adventure,3728.0,0.031143,0.00033419,0.0006902000000000001,0.00102439,0.0002,0.00082439,512.20%,0.00011609999999999999,,,,
movies-0003,4,201,,all about steve,independent,6.0,35,comedy,comedy,2251.0,0.004994,3.386e-05,6.26e-06,4.0130000000000004e-05,1.5e-05,2.5129999999999998e-05,267.53%,1.12e-05,,,http://www.the-numbers.com/movies/2009/abstv.php,
movies-0004,5,201,True,all good things,independent,33.0,64,the riddle,drama,2.0,,5.8e-07,6.2e-08,6.4e-07,2e-05,-1.936e-05,3.20%,3.7e-08,,,http://www.wikipedia.org,
movies-0005,6,201,,alpha and omega,crest,17.0,41,journey and return,animation,2625.0,0.003469,2.512e-05,4.8e-06,2.991e-05,2e-05,9.91e-06,149.55%,9.1e-06,,,,
movies-0006,7,201,True,barry munday,independent,43.0,43,maturation,comedy,,,,,,,0.0,,,,,,
movies-0007,8,201,,black swan,fox,88.0,86,wretched excess,drama,959.0,0.008742,0.00010695,0.00022244,0.00032939,1.3e-05,0.00031639,2533.77%,8.380000000000001e-06,best actress,,,
movies-0008,9,201,,brooklyn's finest,independent,42.0,47,temptation,action,1936.0,0.006896,2.72e-05,9.15e-06,3.631e-05,1.7e-05,1.931e-05,213.59%,1.34e-05,,,http://boxofficemojo.com/movies,
movies-0009,10,201,,buried,independent,86.0,63,escape,drama,11.0,0.009115,1.04e-06,1.733e-05,1.838e-05,2e-06,1.638e-05,919.00%,1.03e-07,,,http://boxofficemojo.com/movies,
movies-0010,11,201,,burlesque,paramount,36.0,66,rags to riches,drama,3037.0,0.003934,3.824e-05,1.784e-05,5.608e-05,5.5e-05,1.08e-06,101.96%,1.1949999999999999e-05,,,http://boxofficemojo.com/movies/?id=burlesque.htm,
